UID         PID   PPID  C STIME TTY          TIME CMD
root        129      2  0  2016 ?        00:00:00 [ksoftirqd/17]
root        131      2  0  2016 ?        00:00:00 [kworker/17:0H]
root        132      2  0  2016 ?        00:00:02 [rcuos/17]
root        133      2  0  2016 ?        00:00:00 [rcuob/17]
root        134      2  0  2016 ?        00:00:02 [watchdog/18]
root        135      2  0  2016 ?        00:00:00 [migration/18]
root        136      2  0  2016 ?        00:00:00 [ksoftirqd/18]
root        138      2  0  2016 ?        00:00:00 [kworker/18:0H]
root        139      2  0  2016 ?        00:00:05 [rcuos/18]
root        140      2  0  2016 ?        00:00:00 [rcuob/18]
root        141      2  0  2016 ?        00:00:02 [watchdog/19]
root        142      2  0  2016 ?        00:00:00 [migration/19]
root        143      2  0  2016 ?        00:00:00 [ksoftirqd/19]
root        145      2  0  2016 ?        00:00:00 [kworker/19:0H]
root        146      2  0  2016 ?        00:00:02 [rcuos/19]
root        147      2  0  2016 ?        00:00:00 [rcuob/19]
root        148      2  0  2016 ?        00:00:02 [watchdog/20]
root        149      2  0  2016 ?        00:00:00 [migration/20]
root        150      2  0  2016 ?        00:00:00 [ksoftirqd/20]
root        152      2  0  2016 ?        00:00:00 [kworker/20:0H]
root        153      2  0  2016 ?        00:00:03 [rcuos/20]
root        154      2  0  2016 ?        00:00:00 [rcuob/20]
root        155      2  0  2016 ?        00:00:02 [watchdog/21]
root        156      2  0  2016 ?        00:00:00 [migration/21]
root        157      2  0  2016 ?        00:00:00 [ksoftirqd/21]
root        159      2  0  2016 ?        00:00:00 [kworker/21:0H]
root        160      2  0  2016 ?        00:00:02 [rcuos/21]
root        161      2  0  2016 ?        00:00:00 [rcuob/21]
root        162      2  0  2016 ?        00:00:02 [watchdog/22]
root        163      2  0  2016 ?        00:00:00 [migration/22]
root        164      2  0  2016 ?        00:00:00 [ksoftirqd/22]
root        166      2  0  2016 ?        00:00:00 [kworker/22:0H]
root        167      2  0  2016 ?        00:00:03 [rcuos/22]
root        168      2  0  2016 ?        00:00:00 [rcuob/22]
root        169      2  0  2016 ?        00:00:02 [watchdog/23]
root        170      2  0  2016 ?        00:00:00 [migration/23]
root        171      2  0  2016 ?        00:00:00 [ksoftirqd/23]
root        173      2  0  2016 ?        00:00:00 [kworker/23:0H]
root        174      2  0  2016 ?        00:00:01 [rcuos/23]
root        175      2  0  2016 ?        00:00:00 [rcuob/23]
root        176      2  0  2016 ?        00:00:02 [watchdog/24]
root        177      2  0  2016 ?        00:00:00 [migration/24]
root        178      2  0  2016 ?        00:00:00 [ksoftirqd/24]
root        180      2  0  2016 ?        00:00:00 [kworker/24:0H]
root        181      2  0  2016 ?        00:00:17 [rcuos/24]
root        182      2  0  2016 ?        00:00:00 [rcuob/24]
root        183      2  0  2016 ?        00:00:02 [watchdog/25]
root        184      2  0  2016 ?        00:00:00 [migration/25]
root        185      2  0  2016 ?        00:00:00 [ksoftirqd/25]
root        187      2  0  2016 ?        00:00:00 [kworker/25:0H]
root        188      2  0  2016 ?        00:00:01 [rcuos/25]
root        189      2  0  2016 ?        00:00:00 [rcuob/25]
root        190      2  0  2016 ?        00:00:03 [watchdog/26]
root        191      2  0  2016 ?        00:00:00 [migration/26]
root        192      2  0  2016 ?        00:00:00 [ksoftirqd/26]
root        194      2  0  2016 ?        00:00:00 [kworker/26:0H]
root        195      2  0  2016 ?        00:00:02 [rcuos/26]
root        196      2  0  2016 ?        00:00:00 [rcuob/26]
root        197      2  0  2016 ?        00:00:02 [watchdog/27]
root        198      2  0  2016 ?        00:00:00 [migration/27]
root        199      2  0  2016 ?        00:00:00 [ksoftirqd/27]
root        201      2  0  2016 ?        00:00:00 [kworker/27:0H]
root        202      2  0  2016 ?        00:00:02 [rcuos/27]
root        203      2  0  2016 ?        00:00:00 [rcuob/27]
root        204      2  0  2016 ?        00:00:02 [watchdog/28]
root        205      2  0  2016 ?        00:00:00 [migration/28]
root        206      2  0  2016 ?        00:00:00 [ksoftirqd/28]
root        208      2  0  2016 ?        00:00:00 [kworker/28:0H]
